%column 1: human-friendly name, in quotes
%column 2: python identifier for the category
%column 3: Wikidata id of the wikipedia page
%column 4: Wikipedia page (if close fuzzy match with one of the Math wikipedia pages as queried with Tom's select)
%column 5: fuzzy match score: number of characters that did not match
"objects" sage.categories.objects.Objects   
"tensor products of finite dimensional modules with basis" sage.categories.finite_dimensional_modules_with_basis.FiniteDimensionalModulesWithBasis.TensorProducts   
"finite dimensional GAP modules with basis" sage.categories.finite_dimensional_modules_with_basis.FiniteDimensionalModulesWithBasis.GAP   
"finite simplicial complexes" sage.categories.simplicial_complexes.SimplicialComplexes.Finite   
"connected simplicial complexes" sage.categories.simplicial_complexes.SimplicialComplexes.Connected   
"Cartesian products of algebras with basis" sage.categories.algebras_with_basis.AlgebrasWithBasis.CartesianProducts   
"facade finite sets" sage_annotations.categories.sets_cat.Facade   
"signed tensor products of graded coalgebras with basis" sage.categories.graded_coalgebras_with_basis.GradedCoalgebrasWithBasis.SignedTensorProducts   
"subobjects of filtered modules with basis" sage.categories.filtered_modules_with_basis.FilteredModulesWithBasis.Subobjects   
"tensor products of finite dimensional cellular algebras with basis" sage.categories.finite_dimensional_algebras_with_basis.FiniteDimensionalAlgebrasWithBasis.Cellular.TensorProducts   
"homsets of additive semigroups" sage.categories.additive_semigroups.AdditiveSemigroups.Homsets   
"Cartesian products of vector spaces with basis" sage.categories.vector_spaces.VectorSpaces.WithBasis.CartesianProducts   
"tensor products of vector spaces with basis" sage.categories.vector_spaces.VectorSpaces.WithBasis.TensorProducts   
"finite dimensional vector spaces with basis" sage.categories.vector_spaces.VectorSpaces.WithBasis.FiniteDimensional   
"filtered vector spaces with basis" sage.categories.vector_spaces.VectorSpaces.WithBasis.Filtered   
"graded vector spaces with basis" sage.categories.vector_spaces.VectorSpaces.WithBasis.Graded   
"tensor products of finite dimensional vector spaces" sage.categories.vector_spaces.VectorSpaces.FiniteDimensional.TensorProducts   
"homsets of additive unital additive magmas" sage.categories.additive_magmas.AdditiveMagmas.AdditiveUnital.Homsets   
"homsets of additive monoids" sage.categories.additive_monoids.AdditiveMonoids.Homsets   
"filtered hopf algebras with basis" sage.categories.filtered_hopf_algebras_with_basis.FilteredHopfAlgebrasWithBasis.WithRealizations   
"endsets" sage.categories.homsets.Homsets.Endset   
"endsets of modules" sage.categories.modules.Modules.Homsets.Endset   
"commutative magma algebras" sage.categories.magmas.Magmas.Commutative.Algebras   
"supercocommutative super coalgebras" sage.categories.coalgebras.Coalgebras.Super.Supercocommutative   
"endsets of modular abelian varieties" sage.categories.modular_abelian_varieties.ModularAbelianVarieties.Homsets.Endset   
"infinite GAP sets" sage.categories.sets_cat.Sets.Infinite.GAP   
"Cartesian products of topological spaces" sage.categories.topological_spaces.TopologicalSpaces.CartesianProducts   
"connected topological spaces" sage.categories.topological_spaces.TopologicalSpaces.Connected   
"compact topological spaces" sage.categories.topological_spaces.TopologicalSpaces.Compact   
"homsets of metric spaces" sage.categories.metric_spaces.MetricSpaces.Homsets   
"metric spaces with realizations" sage.categories.metric_spaces.MetricSpaces.WithRealizations   
"Cartesian products of metric spaces" sage.categories.metric_spaces.MetricSpaces.CartesianProducts   
"complete metric spaces" sage.categories.metric_spaces.MetricSpaces.Complete   
"signed tensor products of super algebras" sage.categories.super_algebras.SuperAlgebras.SignedTensorProducts   
"facade finite GAP sets" sage_annotations.categories.sets_cat.Facade.GAP   
"finite additive group algebras" sage.categories.additive_groups.AdditiveGroups.Finite.Algebras   
"tensor products of finite dimensional vector spaces with basis" sage.categories.vector_spaces.VectorSpaces.WithBasis.FiniteDimensional.TensorProducts   
"irreducible complex reflection or generalized coxeter groups" sage.categories.complex_reflection_or_generalized_coxeter_groups.ComplexReflectionOrGeneralizedCoxeterGroups.Irreducible   
"Cartesian products of connected topological spaces" sage.categories.topological_spaces.TopologicalSpaces.Connected.CartesianProducts   
"Cartesian products of compact topological spaces" sage.categories.topological_spaces.TopologicalSpaces.Compact.CartesianProducts   
"Cartesian products of complete metric spaces" sage.categories.metric_spaces.MetricSpaces.Complete.CartesianProducts   
"finite irreducible complex reflection groups" sage.categories.finite_complex_reflection_groups.FiniteComplexReflectionGroups.Irreducible   
"well generated finite irreducible complex reflection groups" sage.categories.finite_complex_reflection_groups.FiniteComplexReflectionGroups.WellGenerated.Irreducible   
